Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width Variations,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,QMI Incentive %age,QMI Incentive Amt.,QMI Incentive Type,Broker Incentive %age,Broker Incentive Amt.,Broker Incentive Type,To Be Built Incentive %age,To Be Built Incentive Amt.,To Be Built Incentive Type,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Period,Avg. List Price,Profile Available,Active Adult,ZIP Code,City,County,County Code,State,CBSA,CBSA Code,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001WXjRCAW,Cedar Ridge,Fischer Homes,,Active,,,Detached,Single-Family,6600,55,55x120,12/30/2021,,114,90,24,5/10/2026,1.70,2.33,1.00,1.67,1419,3135,2214,311990.00,381990.00,349434.44,5/25/2026,4.63,30000.00,Design Credit/Incentive,3.00,,Base Price,2.00,30000.00,Design Credit/Incentive,45.00,,,0.90,,,(317) 348-4135,https://www.fischerhomes.com/find-new-homes/communities/849/cedar-ridge/,,428268e6-b9d6-4333-a837-67992ab3fd9b,3/1/2026,349434,True,Non Active Adult,46052,Lebanon,Boone,18011,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Lebanon Community School Corp,Central Elementary School,9,Lebanon Middle School,5,Lebanon Senior High School,9,,40.05570,-86.45563
aAf3x000001WlvOCAS,Promenade,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,9240,66;68,66x140; 68x143,6/1/2023,,114,111,3,5/15/2026,3.10,1.00,1.67,1.83,2899,3300,3087,415990.00,450990.00,432240.00,5/15/2026,3.99,,Financing Benefit,2.00,,Final Price,,,No Incentives Confirmed,131.67,,,1.00,,,(317) 316-3790,https://www.pulte.com/homes/indiana/indianapolis/brownsburg/promenade-211022,,21665b42-ef9c-4266-9424-2c3592aed783,3/1/2024,385990,True,Non Active Adult,46112,Brownsburg,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Brownsburg Community Sch Corp,Delaware Trail Elementary School,9,Brownsburg East Middle School,9,Brownsburg High School,10,,39.81374,-86.37300
aAfPc000000reB5KAI,Ellis Acres 3 Story TH,Lennar,,Active,,,Attached,Townhomes,1848,21,21x88,12/21/2024,,34,32,2,5/2/2026,1.94,3.00,3.33,2.33,1710,2063,1945,405995.00,453995.00,437661.67,5/2/2026,3.75,,No Incentives Confirmed,3.00,,Base Price,,,No Incentives Confirmed,195.00,,,1.00,,Townhomes,,https://www.lennar.com/new-homes/indiana/indianapolis/whitestown/ellis-acres/ellis-acres-3-story-th,,b65ca77a-c254-4920-b303-1d81ae55951c,11/1/2025,391721,True,Non Active Adult,46075,Whitestown,Boone,18011,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Zionsville Community Schools,Boone Meadow; Zionsville West Middle School,9; 8,Zionsville West Middle School,8,Zionsville Community High School,10,,39.93071,-86.34246
aAf2T000001MiySSAS,Briar Creek Ranches,Ryan Homes,NVR Inc.,Active,,,Detached,Single-Family,4950,45;60,45x110; 60x134,11/9/2019,,209,200,9,3/31/2026,2.58,10.00,5.50,3.50,1153,1720,1493,266990.00,312990.00,292790.00,5/9/2026,4.50,,Financing Benefit,,2000.00,Flat,,20000.00,Design Credit/Incentive,130.00,,,1.04,,,(317) 620-8192,http://www.ryanhomes.com/find-your-home/our-communities/indiana/whiteland/briarcreekvillas?utm_source=bdx&utm_medium=referral&utm_term=ind&utm_content=community_listing&utm_campaign=briar-creek-villas,,61a24027-6cfa-4acf-acbe-20dc7b5a5a2b,6/1/2023,278000,True,Non Active Adult,46184,Whiteland,Johnson,18081,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Clark-Pleasant Com School Corp,Whiteland Elementary School,8,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.54723,-86.09546
aAfPc0000011OVyKAM,Forest Hill,Ryan Homes,NVR Inc.,Active,,,Attached,Townhomes,2016,21,21x96,8/1/2024,,77,55,22,5/4/2026,2.58,3.67,4.50,3.08,1677,1886,1782,289990.00,324990.00,307490.00,5/4/2026,,,No Incentives Confirmed,,2000.00,Flat,3.00,8700.00,Financing Benefit,131.00,,,1.00,,Townhomes,,https://www.ryanhomes.com/new-homes/communities/10222120152630/indiana/brownsburg/foresthill,,c09f385f-0c8a-4bb6-b314-d3f1b34479d5,8/1/2025,279990,True,Non Active Adult,46112,Brownsburg,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Brownsburg Community Sch Corp,Cardinal Elementary School,8,Brownsburg West Middle School,8,Brownsburg High School,10,,39.85645,-86.38840
aAf2T000001URgMSAW,Lindley Run/SF,Olthof Homes,,Active,,,Detached,Single-Family,10080,70,70x144; 70x157,3/9/2020,,83,79,4,5/23/2026,1.05,0.67,2.33,1.67,1903,3142,2461,476842.00,532985.00,500311.50,5/23/2026,4.99,25000.00,Reduced Closing Costs,3.00,,Final Price,,25000.00,Design Credit/Incentive,50.33,,,0.00,Total Tax Rate,,(317) 733-5141,https://www.olthofhomes.com/communities/central-indiana/westfield/lindley-run,,cd566d40-e379-4a3c-8254-48088024c013,9/1/2025,497610,True,Non Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Washington Woods Elementary School,9; 7,Westfield Middle School,9,Westfield High School,10,,40.06833,-86.10631
aAf3x000001WoIZCA0,Bonterra/ TH,M/I Homes,,Active,,,Attached,Townhomes,2280,24;18,24x95; 18x81,5/12/2023,,139,130,9,5/12/2026,3.57,3.67,3.50,3.25,1778,1778,1778,354900.00,354900.00,354900.00,5/12/2026,2.88,,Financing Benefit,3.00,,Final Price,,,No Incentives Confirmed,250.00,,,1.00,,,(317) 210-4677,https://www.mihomes.com/new-homes/indiana/indianapolis-metro/westfield/bonterra?utm_source=NewHomeSource&utm_campaign=referral-community&utm_medium=feed&utm_content=&utm_term=consumer,,485f95d0-c0d7-44b7-bb7d-8fadc556d6f9,11/1/2025,332590,True,Non Active Adult,46062,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Washington Woods Elementary School,9; 7,Westfield Middle School,9,Westfield High School,10,,40.04310,-86.09604
aAf3x000001WVDTCA4,Townes at Kennedy-King,Onyx+East,,Active,,,Attached,Townhomes,,,,1/22/2022,,36,30,6,5/15/2026,0.57,1.00,0.50,0.25,1300,1688,1489,339900.00,374900.00,359900.00,5/15/2026,4.88,,Fixed Interest Rate,3.00,,Base Price,4.88,,Fixed Interest Rate,,,,1.03,,Townhomes,(317) 559-0169,https://www.onyxandeast.com/property/townes-at-kennedy-king/,,1fe720a2-558c-4067-af59-e2332e9dab00,12/1/2022,373563,True,Non Active Adult,46202,Indianapolis,Marion,18097,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Indianapolis Public Schools,Thomas D. Gregg School 15; Brookside School 54,4; 4,Arlington Community Middle School,5,Arsenal Technical High School; George Washington Community High School...,1; 1,,39.79697,-86.14422
aAf3x000001Ye57CAC,Kimblewick/Belmont,Del Webb,PulteGroup Inc.,Active,,,Detached,Single-Family,6760,52,52x130,5/1/2021,,225,205,20,5/4/2026,3.37,0.00,1.67,3.08,1646,1841,1744,435990.00,473990.00,454990.00,5/13/2026,4.88,25000.00,Financing Benefit,3.00,,Final Price,,,Design Credit/Incentive,277.00,,,1.00,,Active Adult,(317) 559-8309,https://www.delwebb.com/homes/indiana/indianapolis/westfield/kimblewick-by-del-webb-210598,,93d495d8-f72e-4bc0-8ede-ca943fa263eb,7/1/2021,344990,True,Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Shamrock Springs Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.00812,-86.20483
aAfPc000001hd8nKAA,Magnolia Ridge/Distinctive,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,9490,73,73x130,4/25/2025,,26,20,6,5/9/2026,1.59,1.00,1.00,1.67,2213,2754,2463,537990.00,572990.00,552990.00,5/9/2026,,,,,,,,50000.00,Price Discount/Savings,,,,,,,(317) 225-5505,https://www.pulte.com/homes/indiana/indianapolis/noblesville/magnolia-ridge-211229,,6691f593-c6b7-44ba-8f3a-fd8be023f7a9,7/1/2025,534990,True,Non Active Adult,46062,Noblesville,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Noblesville Schools,Noble Crossing Elementary School,8,Noblesville West Middle School,9,Noblesville High School,10,,40.02936,-86.06009
aAfPc000001LQmvKAG,Beyers Estates/Carriage Duplex,Lennar,,Active,,,Attached,Townhomes,5375,43,43x125,5/10/2025,,176,36,140,5/18/2026,2.91,5.33,4.67,2.58,1530,1530,1530,270995.00,270995.00,270995.00,5/19/2026,,,Financing Benefit,,,,,,,,,,,,Townhomes,(317) 659-3230,https://www.lennar.com/new-homes/indiana/indianapolis/fortville/beyers-estates,,91af3bd2-0d03-4ade-8ca7-e812d1fb28f9,10/1/2025,311995,True,Non Active Adult,46040,Fortville,Hancock,18059,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Mt Vernon Community Sch Corp,Fortville Elementary School,7,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91139,-85.83463
aAf2T000001ULX7SAO,Mt Vernon North,D.R. Horton,"D.R. Horton, Inc.",Active,,,Detached,Single-Family,7500,60;66,60x125; 66x125; 60x120,10/9/2020,,242,186,56,4/25/2026,2.77,1.67,2.00,2.33,1601,3062,2298,332900.00,424900.00,374650.00,4/25/2026,4.75,,Financing Benefit,4.00,,Final Price,3.00,,Price Discount/Savings,33.00,,,,,,(812) 247-8496,http://www.drhorton.com/indiana/indianapolis/fortville/mount-vernon-north,,63b8d1ff-a748-4b03-b373-0a62d4c7cbba,1/1/2024,396236,True,Non Active Adult,46040,Fortville,Hancock,18059,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Mt Vernon Community Sch Corp,Fortville Elementary School,7,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91192,-85.84315
aAf3x000001QLLnCAO,Meadows at Belleview,D.R. Horton,"D.R. Horton, Inc.",Active,,,Detached,Single-Family,8160,68,68x120,2/4/2023,,197,112,85,4/1/2026,2.93,1.33,1.33,3.92,1771,3388,2602,362000.00,473000.00,424587.50,4/1/2026,4.75,,Fixed Interest Rate,3.00,,Final Price,,25000.00,Financing Benefit,37.50,,,1.00,,,(317) 617-0773,https://www.drhorton.com/indiana/indianapolis/greenwood/meadows-at-belleview,,82d24d56-1842-4b17-a035-9558948224df,2/1/2024,400000,True,Non Active Adult,46143,Greenwood,Johnson,18081,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Center Grove Com Sch Corp,Pleasant Grove Elementary School,8,Center Grove Middle School North,8,Center Grove High School,10,,39.59582,-86.21492
aAf3x000001QVVICA4,Carramore,Drees Homes,,Active,,,Detached,Single-Family,10360,65;74,74x140; 65x150,4/15/2023,,82,81,1,5/12/2026,2.17,1.33,1.00,1.00,2284,3334,2863,542900.00,770100.00,606845.45,5/12/2026,3.88,,Financing Benefit,3.00,,Base Price,1.00,,Financing Benefit,50.00,,,,,,(317) 720-2578,https://www.dreeshomes.com/custom-homes/indianapolis/community/carramore/carramore/,,9a964f2f-1213-4b98-b92f-a4ea511263f9,11/1/2025,608600,True,Non Active Adult,46069,Sheridan,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.07796,-86.16111
aAf3x000001QP13CAG,Brookstone Crossings,Pulte Homes,PulteGroup Inc.,Active,,,Detached,Single-Family,11109,69,69x161,6/26/2023,,67,65,2,5/12/2026,1.86,2.00,1.67,1.33,2899,3300,3087,409990.00,439990.00,424740.00,5/12/2026,5.75,,Reduced Closing Costs,3.00,,Final Price,,,Fixed Interest Rate,97.66,,,1.00,,,(317) 814-2133,https://www.pulte.com/homes/indiana/indianapolis/avon/brookstone-211050,,80efa35a-763a-472b-88f0-4a580b51bdbe,5/1/2025,424740,True,Non Active Adult,46123,Avon,Hendricks,18063,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Avon Community School Corp,Sycamore Elementary School; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.77761,-86.35361
aAfPc000000JV58KAG,Townes at Grand Park Village,Fischer Homes,,Active,,,Attached,Townhomes,1520,22;20,20x76; 22x74,4/25/2025,,77,10,67,5/10/2026,0.79,1.00,1.17,0.83,2097,2157,2127,406990.00,418990.00,412990.00,5/25/2026,,,,,,,,,,,,,,,Townhomes,(317) 348-4135,https://www.fischerhomes.com/find-new-homes/communities/912/townes-at-grand-park-village/,,cb131217-270d-4888-8bb8-0e712546dffa,3/1/2026,404990,True,Non Active Adult,46074,Westfield,Hamilton,18057,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.05662,-86.15260
aAf3x000001YgzhCAC,Sunrise Lake,Bridgenorth Homes,,Active,,,Detached,Single-Family,10500,75,75x140,9/1/2019,,102,95,7,5/19/2026,1.17,2.67,1.50,0.83,1687,2958,2198,310990.00,388990.00,350656.67,4/29/2026,,,No Incentives Confirmed,3.00,,Final Price,,,No Incentives Confirmed,37.50,,,1.00,,,(317) 318-1105,https://www.bridgenorthhomes.com/community/sunrise-lake-new-palestine/,,,9/1/2024,348790,True,Non Active Adult,46163,New Palestine,Hancock,18059,IN,"Indianapolis-Carmel-Greenwood, IN",26900,New Palestine Community Schools,New Palestine Elementary School,8,New Palestine Jr High School,8,New Palestine High School,10,,39.73229,-85.88604
aAf2T000001UM5RSAW,Bluffs at Youngs Creek,Arbor Homes,Clayton Properties Group,Active,,,Detached,Single-Family,9100,70,70x130; 70x140; 70x167,1/11/2020,,478,335,143,3/30/2026,4.44,3.33,3.33,3.67,1354,3198,2233,263995.00,339995.00,304176.82,3/30/2026,,,Fixed Interest Rate,3.00,,Base Price,,,Fixed Interest Rate,22.92,,,1.00,,,(317) 674-7808,https://yourarborhome.com/neighborhoods/indiana/franklin/bluffs-at-youngs-creek,,e241220c-795f-4f6e-bfff-b6b4e8f4d22a,4/1/2023,293533,True,Non Active Adult,46131,Franklin,Johnson,18081,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Franklin Community School Corp,Custer Baker Intermediate School; Creekside Elementary School,7; 6,Franklin Community Middle School,7,Franklin Community High School,6,,39.46475,-86.06519
aAf2T000001UM5RSAW,Bluffs at Youngs Creek,Arbor Homes,Clayton Properties Group,Active,,,Detached,Single-Family,9100,70,70x130; 70x140; 70x167,1/11/2020,,478,335,143,3/30/2026,4.44,3.33,3.33,3.67,1354,3198,2233,263995.00,339995.00,304176.82,3/30/2026,,,Fixed Interest Rate,3.00,,Base Price,,,Fixed Interest Rate,22.92,,,1.00,,,(317) 674-7808,https://yourarborhome.com/neighborhoods/indiana/franklin/bluffs-at-youngs-creek,,e241220c-795f-4f6e-bfff-b6b4e8f4d22a,11/1/2023,296449,True,Non Active Adult,46131,Franklin,Johnson,18081,IN,"Indianapolis-Carmel-Greenwood, IN",26900,Franklin Community School Corp,Custer Baker Intermediate School; Creekside Elementary School,7; 6,Franklin Community Middle School,7,Franklin Community High School,6,,39.46475,-86.06519
